"Rank","Player","Team","Bye","POS","AVG"
"367","Anthony McFarland Jr.","","","RB109","366.0"
"368","Marquise Goodwin","","","WR149","367.0"
"369","Mason Rudolph","PIT","5","QB50","368.0"
"370","Emari Demercado","ARI","8","RB110","369.0"
"371","Grant Calcaterra","PHI","9","TE61","370.0"
"372","Jimmy Garoppolo","LAR","8","QB51","371.0"
"373","D.J. Williams","TB","9","RB111","372.0"
"374","Nick Nash","ATL","5","WR150","373.0"
"375","Jelani Woods","IND","11","TE62","374.0"
"376","Andrew Armstrong","MIA","12","WR151","375.0"
"377","Daniel Bellinger","NYG","14","TE63","376.0"
"378","Charlie Woerner","ATL","5","TE64","377.0"
"379","Tyler Scott","CHI","5","WR152","378.0"
"380","Phil Mafah","DAL","10","RB112","379.0"
"381","Terrace Marshall Jr.","PHI","9","WR153","380.0"
"382","Trent Sherfield Sr.","DEN","12","WR154","381.0"
"383","Xavier Smith","LAR","8","WR155","382.0"
"384","Sincere McCormick","LV","8","RB113","383.0"
"385","Van Jefferson","TEN","10","WR156","384.0"
"386","Johnny Mundt","JAC","8","TE65","385.0"
"387","Sam Howell","MIN","6","QB52","386.0"
"388","Aaron Shampklin","","","RB114","387.0"
"389","Seth Williams","","","WR157","388.0"
"390","Jamaal Pritchett","NYJ","9","WR158","389.0"
"391","T.J. Tampa","BAL","7","CB2","390.0"
"392","Corey Kiner","SF","14","RB115","391.0"
"393","Chris Rodriguez Jr.","WAS","12","RB116","393.0"
"394","Kalif Raymond","DET","8","WR159","394.0"
"395","Kalel Mullings","TEN","10","RB117","395.0"
"396","Javon Baker","NE","14","WR160","396.0"
"397","Marcus Mariota","WAS","12","QB53","397.0"
"398","KeAndre Lambert-Smith","LAC","12","WR161","398.0"
"399","Trey Palmer","TB","9","WR162","399.0"
"400","Jacob Cowing","SF","14","WR163","400.0"
"401","Jalen Camp","","","WR164","401.0"
"402","Quinn Ewers","MIA","12","QB54","403.0"
"403","Montrell Johnson Jr.","PHI","9","RB118","404.0"
"404","Dax Milne","","","WR165","405.0"
"405","K.J. Osborn","WAS","12","WR166","406.0"
"406","Matt Corral","","","QB55","407.0"
"407","Stone Smartt","NYJ","9","TE66","408.0"
"408","Jeremy Ruckert","NYJ","9","TE67","409.0"
"409","Derius Davis","LAC","12","WR167","410.0"
"410","Andy Dalton","CAR","14","QB56","411.0"
"411","Dareke Young","SEA","8","WR168","412.0"
"412","Isaiah Williams","CIN","10","WR169","413.0"
"413","Marlon Mack","","","RB119","414.0"
"414","Tahj Washington","MIA","12","WR170","415.0"
"415","Ameer Abdullah","","","RB120","416.0"
"416","Zach Wilson","MIA","12","QB57","417.0"
"417","Isaiah McKenzie","","","WR171","418.0"
"418","Kendrick Bourne","NE","14","WR172","419.0"
"419","Dillon Gabriel","CLE","9","QB58","421.0"
"420","Jake Bobo","SEA","8","WR173","422.0"
"421","Jonathan Mingo","DAL","10","WR174","423.0"
"422","Dante Pettis","NO","11","WR175","424.0"
"423","Jahleel Billingsley","","","TE68","425.0"
"424","David Bell","CLE","9","WR176","426.0"
"425","Cam Akers","","","RB121","427.0"
"426","Tyler Johnson","NYJ","9","WR177","428.0"
"427","Breshad Perriman","","","WR178","429.0"
"428","Nikola Kalinic","ATL","5","TE69","430.0"
"429","Blake Bell","","","TE70","431.0"
"430","Jakob Johnson","HOU","6","RB122","432.0"
"431","Ty Chandler","MIN","6","RB123","433.0"
"432","Zay Jones","ARI","8","WR179","434.0"
"433","Kylen Granson","PHI","9","TE71","435.0"
"434","Mitchell Evans","CAR","14","TE72","436.0"
"435","Johnny Wilson","PHI","9","WR180","437.0"
"436","Mecole Hardman Jr.","GB","5","WR181","438.0"
"437","Jake Browning","CIN","10","QB59","439.0"
"438","Tyson Bagent","CHI","5","QB60","440.0"
"439","Mitchell Trubisky","BUF","7","QB61","441.0"
"440","Cooper Rush","BAL","7","QB62","442.0"
"441","Drew Lock","SEA","8","QB63","443.0"
"442","Travis Homer","CHI","5","RB124","444.0"
"443","Ainias Smith","PHI","9","WR182","445.0"
"444","Quentin Skinner","NYJ","9","WR183","446.0"
"445","Josh","Ali","","WR184","447.0"
"446","Nathan Carter","ATL","5","RB125","448.0"
"447","Konata Mumpfield","LAR","8","WR185","449.0"
"448","Ja'Corey Brooks","WAS","12","WR186","450.0"
"449","Mario Anderson","","","RB126","451.0"
"450","Chase Cota","","","WR187","452.0"
"451","Arian Smith","NYJ","9","WR188","453.0"
"452","Tyler Goodson","IND","11","RB127","454.0"
"453","Lucas Krull","DEN","12","TE73","455.0"
"454","Colby Parkinson","LAR","8","TE74","456.0"
"455","Sterling Shepard","TB","9","WR189","457.0"
"456","Gardner Minshew II","KC","10","QB64","458.0"
"457","John Bates","WAS","12","TE75","459.0"
"458","Hendon Hooker","DET","8","QB65","460.0"
"459","Tyler Badie","DEN","12","RB128","461.0"
"460","Jeremy McNichols","WAS","12","RB129","462.0"
"461","Cornell Powell","","","WR190","464.0"
"462","Erick All Jr.","CIN","10","TE76","465.0"
"463","Jordan Travis","","","QB66","466.0"
"464","Elijah Sarratt","","","WR191","467.0"
"465","Efton Chism III","NE","14","WR192","468.0"
"466","Roc Taylor","PIT","5","WR193","469.0"
"467","Tyquan Thornton","KC","10","WR194","470.0"
"468","Qadree Ollison","","","RB130","471.0"
"469","Ben Skowronek","PIT","5","WR195","472.0"
""
""
